prediction;test_price
27.82;28.78
28.16;28.81
28.37;28.14
28.39;28.2
28.02;28.74
27.89;29.0
28.1;28.63
28.41;28.29
28.47;28.28
28.18;28.16
28.2;27.78
28.23;27.72
27.91;27.16
27.71;27.18
27.38;26.64
27.16;26.31
26.73;26.76
26.27;26.45
26.59;26.48
26.51;26.04
26.39;26.02
26.34;25.1
26.14;24.87
25.47;24.53
25.16;24.88
24.78;25.5
24.81;25.02
25.22;25.62
24.94;25.12
25.29;25.66
25.14;26.03
25.33;26.75
25.68;26.96
26.23;26.23
26.43;27.48
26.06;27.67
26.59;28.02
26.92;27.85
27.26;27.94
27.29;28.6
27.42;28.19
27.83;28.34
27.7;28.08
27.76;28.42
27.61;28.15
27.95;28.41
27.74;28.69
27.68;28.69
27.94;28.88
28.04;28.39
28.23;28.27
28.06;28.27
28.14;27.8
28.22;27.6
27.88;27.26
27.67;26.83
27.36;26.57
27.02;27.21
26.62;27.4
26.9;27.33
27.02;26.85
27.12;26.57
26.8;27.67
26.42;27.25
27.1;27.83
27.07;27.95
27.4;27.99
27.44;27.71
27.47;27.37
27.37;27.04
26.99;27.37
26.73;27.84
26.76;27.53
27.16;27.51
27.1;27.25
27.05;27.5
26.92;27.1
27.03;26.91
26.85;27.35
26.58;26.33
26.98;26.21
26.33;26.11
26.06;26.45
26.1;26.85
26.27;27.33
26.54;27.44
27.09;27.3
27.59;27.6
27.37;27.86
27.51;28.23
27.76;28.29
27.92;28.58
27.97;28.29
28.11;29.05
28.12;29.22
28.56;29.04
28.9;29.42
28.7;30.27
28.96;30.15
29.76;29.92
29.65;30.33
29.51;29.95
29.69;30.36
29.47;30.52
29.72;30.45
29.78;30.29
29.93;29.74
29.79;29.36
29.3;29.32
28.96;28.99
28.89;29.35
28.65;29.54
28.85;29.49
29.04;29.31
29.06;29.05
29.03;28.95
28.88;29.97
28.84;30.09
29.41;28.8
29.62;28.95
29.02;29.51
28.91;29.02
29.23;29.0
29.08;29.6
29.05;29.36
29.48;28.88
29.33;28.74
